date,impressions,clicks,spend_php,attributed_conversions,attributed_revenue_php
2026-05-01,50957,594,7643.51,13,36438.05
2026-05-02,38101,452,5715.18,9,23900.06
2026-05-03,53265,623,7989.74,14,37641.54
2026-05-04,42369,516,6355.41,10,28272.21
2026-05-05,44465,612,6669.81,12,32123.4
2026-05-06,43720,390,6558.05,11,30840.77
2026-05-07,80686,945,12102.91,22,60412.6
2026-05-08,35269,431,5290.31,9,24850.24
2026-05-09,34560,427,5183.94,8,21127.41
2026-05-10,49886,576,7482.95,12,33538.02
2026-05-11,35836,354,5375.46,8,22488.53
2026-05-12,51052,633,7657.79,12,33388.46
2026-05-13,86035,1211,12905.25,23,63339.4
2026-05-14,84730,861,12709.54,22,59380.69
2026-05-15,30760,401,4614.0,7,19892.28
2026-05-16,52178,606,7826.7,12,33077.93
2026-05-17,77831,928,11674.72,19,52639.57
2026-05-18,49917,536,7487.58,11,31234.66
2026-05-19,55930,649,8389.46,13,36232.35
2026-05-20,79816,1082,11972.45,20,54884.62
2026-05-21,100194,1272,15029.09,26,72318.98
2026-05-22,70850,997,10627.46,18,49570.37
2026-05-23,81896,1098,12284.38,17,47679.99
2026-05-24,24730,310,3709.47,6,16997.45
2026-05-25,86412,1218,12961.84,21,58580.38
2026-05-26,85792,1075,12868.83,22,59347.82
2026-05-27,98340,1278,14750.96,26,72816.31
2026-05-28,121989,1420,18298.35,26,72149.03
2026-05-29,49419,597,7412.85,12,32174.76
2026-05-30,69482,776,10422.27,18,48563.03
