date,impressions,clicks,spend_php,attributed_conversions,attributed_revenue_php
2026-05-01,36757,367,3308.12,4,11069.28
2026-05-02,30955,252,2785.94,4,9636.92
2026-05-03,39553,368,3559.79,5,14634.15
2026-05-04,32331,279,2909.8,4,11651.15
2026-05-05,33149,290,2983.37,4,10847.42
2026-05-06,35510,326,3195.89,4,11049.58
2026-05-07,57390,548,5165.1,6,16683.28
2026-05-08,23030,200,2072.68,3,7619.33
2026-05-09,26758,266,2408.2,4,10480.14
2026-05-10,35712,285,3214.11,5,12532.29
2026-05-11,27951,252,2515.55,3,9238.15
2026-05-12,38541,437,3468.69,5,13548.83
2026-05-13,65681,604,5911.33,7,20359.22
2026-05-14,62863,647,5657.66,8,21115.58
2026-05-15,25130,228,2261.71,3,8645.8
2026-05-16,38622,368,3475.98,5,13140.5
2026-05-17,53634,480,4827.03,7,19213.05
2026-05-18,36566,323,3290.98,5,12764.32
2026-05-19,45391,377,4085.16,6,16146.09
2026-05-20,59958,563,5396.24,7,19658.78
2026-05-21,71212,586,6409.12,9,25666.63
2026-05-22,51734,497,4656.04,7,19422.2
2026-05-23,60171,600,5415.41,7,19380.69
2026-05-24,19233,179,1730.95,2,6227.26
2026-05-25,56311,492,5067.95,8,20801.69
2026-05-26,55697,524,5012.76,7,18829.82
2026-05-27,72817,635,6553.57,10,27001.18
2026-05-28,90422,890,8137.95,11,30103.11
2026-05-29,35601,262,3204.06,5,13238.36
2026-05-30,56306,490,5067.5,7,19408.42
